Date,Hour,Emission Factor (kg CO2 per kWh)
2024-01-01,1,0.52096844
2024-01-01,2,0.54082056
2024-01-01,3,0.5501421
2024-01-01,4,0.56156863
2024-01-01,5,0.56156863
2024-01-01,6,0.53037037
2024-01-01,7,0.50758621
2024-01-01,8,0.50709677
2024-01-01,9,0.52196721
2024-01-01,10,0.53754386
2024-01-01,11,0.54037736
2024-01-01,12,0.54552381
2024-01-01,13,0.54552381
2024-01-01,14,0.54552381
2024-01-01,15,0.53037037
2024-01-01,16,0.51448276
2024-01-01,17,0.50885246
2024-01-01,18,0.50885246
2024-01-01,19,0.51733333
2024-01-01,20,0.52660152
2024-01-01,21,0.52477565
2024-01-01,22,0.50954121
2024-01-01,23,0.52096844
2024-01-01,24,0.52096844